,sentenca,palavras_chave,resultado
1043,somos uma industria de racoes juntamente com um engenho para beneficiamento de arroz nela sao produzidas racoes para pets e arroz para consumo humano o aterramento desses residuos em media kg por dia gerados na fabricacao de racao animal racao contaminada por mofo podera causar contaminacao ao solo sendo possivel o aterramento quais os melhores metodos para se fazer isso se esse nao for o melhor metodo que alternativa poderia ser utilizada,orgânica orgânico matéria compostagem,processo água água água
1044,solda de estanhochumbo para soldagem de chapas galvanizadas,soldagem solda arame eletrodo,processo água água água
1045,qual a composicao da solda tipo estanhochumbo para suportar temperaturas de na soldagem de chapas galvanizadas e qual o melhor fluxo para este tipo de soldagem,soldagem solda arame eletrodo,processo água água água
1046,fabricacao de gloss labial,gel higiene pessoal produtos,processo água água água
1047,como realizar a preparacao os principais testes de controle de qualidade e os equipamentos envolvidos na fabricacao do gloss labial,gel higiene pessoal produtos,processo água fabricação água
1048,cromoterapia,cor piso cores pedra,processo água fabricação água
1049,cromoterapia,cor piso cores pedra,processo água fabricação água
1050,farinha de coco,coco casca verde beneficiamento,processo água água água
1051,farinha de coco,coco casca verde beneficiamento,processo água água água
1052,pintura de compensado naval,cola adesivo colagem colar,processo água água água
1053,como pintar piso de compensado naval,cola adesivo colagem colar,processo água fabricação água
1054,layout de fabrica de plastico,al mel oliveira carvalho,processo água água água
1055,solicito informacoes de layout para industria de plastico,al mel oliveira carvalho,processo água água água
1056,artesanato com escamas de peixe,peixe pescado pesca água,processo água fabricação água
1057,utilizacao de escamas de peixe na fabricacao de pecas de artesanato,peixe pescado pesca água,processo água água água
1058,solvente para creme de hidroquinona,gel higiene pessoal produtos,processo água água água
1059,qual solvente devo utilizar na formulacao do creme de hidroquinona etanol ou propilenoglicol,gel higiene pessoal produtos,processo água água água
1060,maquina embaladora de morango,mar rio acesso universidade,processo água água água
1061,eu trabalho com cultivo de morango e gostaria de saber se ha alguma maquina de embalar morango que possa ser feita manualmente caso sim como seria a montagem e o material necessario,mar rio acesso universidade,processo água fabricação água
1062,teste fogging para couros de estofamento automotivo,teste of and valor,processo água água água
1063,como e realizado e o que e o teste fogging exigido para couros de estofamento automotivo,teste of and valor,processo água fabricação água
1064,perda de area de couros antes da secagem,ar secagem umidade seco,processo água água água
1065,os couros antes de estarem completamente secos podem perder area perda de metragem,ar secagem umidade seco,processo água água água
1066,desenvolvimento de colecao de couros,produtos produto mercado indústria,processo água água água
1067,como iniciar o desenvolvimento de uma colecao de couros,produtos produto mercado indústria,processo água fabricação água
1068,argamassa a base de resina de pva e dolomita,cimento argamassa cal construção,processo água fabricação água
1069,seria possivel a fabricacao de argamassa a base de resina de pva e dolomita quais as informacoes que se tem sobre o processo e uma possivel estimativa das proporcoes a serem utilizadas,cimento argamassa cal construção,processo água água água
1070,oleo essencial de cravo da india em alimentos,alho essencial limão aroma,processo água água água
1071,gostaria de saber qual a quantidade de oleo essencial de cravo da india que pode ser utilizada em alimentos,alho essencial limão aroma,processo água água água
1072,processo de fabricacao de mel de abelha desidratado,al mel oliveira carvalho,processo água água água
1073,gostaria de saber sobre a tecnica para fabricar mel de abelha desidratado,al mel oliveira carvalho,processo água água água
1074,aplicacoes da cromatografia na industria da borracha,papel análise laboratório método,processo água fabricação água
1075,quais as aplicacoes da cromatografia na industria da borracha,papel análise laboratório método,processo água água água
1076,fabricacao do po de aluminio,pó bolo fluxograma pós,processo água água água
1077,qual qual o processo de fabricacao do po de aluminio,pó bolo fluxograma pós,processo água água água
1078,cultivo de funghis na serra catarinense,conservante aditivo potássio cogumelo,processo água fabricação água
1079,para cultivar funghi na regiao de alfredo wagner sc pe da serra catarinense lugar este bastante umido e frio qual fungo que melhor se adapta para lugares com a temperatura baixa e empresas que prestam consultoria para a estruturacao fisica necessaria,conservante aditivo potássio cogumelo,processo água água água
1080,catalisadores de oxidacao para motores a diesel,vegetal biodiesel produção glicerina,processo água fabricação água
1081,catalisadores de oxidacao para motores a diesel,vegetal biodiesel produção glicerina,processo água fabricação água
1082,apliques capilares,gel higiene pessoal produtos,processo água fabricação água
1083,gostaria de saber sobre como se faz aplique e os tipos existentes,gel higiene pessoal produtos,processo água água água
1084,como fazer dreadlocks,gel higiene pessoal produtos,processo água fabricação água
1085,como fazer rastafaridreadlocks,gel higiene pessoal produtos,processo água fabricação água
1086,fertilizacao de bovinos e bubalinos,coleta artificial veterinário inseminação,processo água água água
1087,gostaria de obter informacoes a respeito do metodo de fertilizacao de bovinos e bubalinos,coleta artificial veterinário inseminação,processo água água água
1088,maquinas para fabricacao de fibra de coco,coco casca verde beneficiamento,processo água água água
1089,gostaria de obter informacoes a respeito de maquinas trituradora marteletes fixos prensa e classificadora para fabricacao de fibra de coco e fornecedores,coco casca verde beneficiamento,processo água água água
1090,riser de perfuracao,saúde contaminação poço grupo,processo água água água
1091,qual a finalidade e as vantagens do uso do riser de perfuracao,saúde contaminação poço grupo,processo água água água
1092,reciclagem de papel liner,papel análise laboratório método,processo água água água
1093,como e o processo e se e possivel reciclar aparas de papel liner,papel análise laboratório método,processo água fabricação água
1094,inibidores de corrosaooxidacao do aco carbono,aço inox inoxidável carbono,processo água água água
1095,utilizo peroxido de hidrogenio para oxidar pecas de aco carbono e gostaria de saber como cessar o processo de oxidacao mantendo o aspecto envelhecido do metal sem comprometer sua estrutura,aço inox inoxidável carbono,processo água água água
1096,em meio a uma pesquisa sobre a producao de papel sintetico reciclado tive conhecimento de que esta invencao possui uma patente porem nao consigo encontrala gostaria de obter uma patente que trate da formulacao deste tipo de papel,processo industrial propriedade patente,processo água fabricação água
1097,metilato de sodio para a industria de biodiesel,vegetal biodiesel produção glicerina,processo água água água
1098,qual a funcao do metilato de sodio na producao de biodiesel,vegetal biodiesel produção glicerina,processo água água água
1099,estou iniciando no cultivo de bananas e gostaria de melhorar meu produto como devo proceder na colheita e poscolheita da banana quais os cuidados que preciso para armazenar e transportar as frutas como montar um local adequado para receber as frutas da plantacao armazenar e despachar meu produto para a venda,embalagem transporte armazenamento papelão,processo água fabricação água
1100,utilizacao de acido citrico em alimentos e bebidas,conservante aditivo potássio cogumelo,processo água água água
1101,gostaria de obter informacoes a respeito da utilizacao de acido citrico em alimentos e bebidas,conservante aditivo potássio cogumelo,processo água água água
1102,fabricacao de embalagens retornaveis para pizza,processo industrial propriedade patente,processo água água água
1103,qual o metodo de fabricacao de embalagens retornaveis para pizza,processo industrial propriedade patente,processo água água água
1104,resfriador de grelha para a producao de clinquer de cimento portland,cimento argamassa cal construção,processo água água água
1105,gostaria de saber se existe outro tipo de resfriador para a producao de clinquer de cimento alem dos resfriadores rotativos e planetarios e o seu funcionamento,cimento argamassa cal construção,processo água água água
1106,reducao do impacto ambiental na producao de concreto,concreto cimento impermeabilizante traço,processo água água água
1107,como reduzir o impacto ambiental da producao do concreto,concreto cimento impermeabilizante traço,processo água fabricação água
1108,geracao de vapor dagua em industrias atraves de fluidos termicos,café vapor grãos moagem,processo água água água
1109,como produzir vapor dagua atraves de fluidos termicos em industrias existe um tipo de gerador de vapor,café vapor grãos moagem,processo água fabricação água
1110,soldagem em sistemas de refrigeracao,soldagem solda arame eletrodo,processo água água água
1111,quais os procedimentos e tipos de solda a serem usados para se fazer soldagem em um sistema de refrigeracao,soldagem solda arame eletrodo,processo água água água
1112,acumuladores como partes integrantes dos sistemas hidraulicos,pressão válvula nr cilindro,processo água fabricação água
1113,referente a anexo iii os acumuladores dos sistemas hidraulicos podem ser caracterizados como parte integrante das maquinas e assim dispensalos da referida norma,pressão válvula nr cilindro,processo água água água
1114,producao de plantas hibridas,al mel oliveira carvalho,processo água água água
1115,gostaria de obter informacoes a respeito da producao de plantas hibridas a partir de especies de maracuja e citros,al mel oliveira carvalho,processo água água água
1116,residuo de etanol,vegetal biodiesel produção glicerina,processo água água água
1117,gostaria de obter informacoes a respeito do residuo de etanol para producao de biodiesel,vegetal biodiesel produção glicerina,processo água água água
1118,formulacoes de cupulate branco ao leite e amargo,chocolate gordura cacau manteiga,processo água água água
1119,gostaria da formulacao para o preparo de cupulate branco ao leite e amargo,chocolate gordura cacau manteiga,processo água água água
1120,obtencao de embutido fermentado tipo salame de carne de caprinos,carne pimenta molho embutidos,processo água água água
1121,solicito informacoes sobre o processo para obtencao de salame a partir de carne de caprinos,carne pimenta molho embutidos,processo água água água
1122,diferenca sobre uso de vapor em destilarias e processamento de milho a vapor,café vapor grãos moagem,processo água água água
1123,gostaria de informacoes sobre o aproveitamento de vapor para producao de energia eletrica em destilarias qual a diferenca entre a o aproveitamento de vapor em destilarias e o processamento de milho a vapor flakes,café vapor grãos moagem,processo água água água
1124,pimenta calabresa,carne pimenta molho embutidos,processo água água água
1125,a respeito do produto comercial pimenta calabresa gostaria de informacoes a respeito das especies de pimentas utilizadas para sua fabricacao aqui no brasil e qual o processo de producao no que se refere a desidratacao natural eou artificial,carne pimenta molho embutidos,processo água fabricação água
1126,qual e o processo de fabricacao de chapeus e boinas de feltro e qual e o maquinario necessario,calçado eva fabricação modelagem,processo água água água
1127,utilizacao de reboilers como aquecedores indiretos em destilarias de etanol,álcool cerveja etanol etílico,processo água água água
1128,como e feita a utilizacao de reboilers como aquecedores indiretos em destilarias de etanol,álcool cerveja etanol etílico,processo água fabricação água
1129,adesivos ecologicos,cola adesivo colagem colar,processo água fabricação água
1130,gostaria de saber se e possivel trabalhar com aplicacoes de adesivos comunicacao visual de forma ambientalistareciclavel,cola adesivo colagem colar,processo água água água
1131,fabricacao de boina do tipo tolosa,processo industrial propriedade patente,processo água água água
1132,como e fabricada a boina de la do tipo tolosa,processo industrial propriedade patente,processo água fabricação água
1133,fabricacao de fantoches de espuma,espuma poliuretano gelo refrigeração,processo água água água
1134,como fazer fantoches de espuma,espuma poliuretano gelo refrigeração,processo água fabricação água
1135,calcado para idoso,calçado eva fabricação modelagem,processo água fabricação água
1136,quais sao os pontos relevantes a serem considerados na confeccao de calcados para idosos,calçado eva fabricação modelagem,processo água água água
1137,medida da tonelada metrica,sódio água cloro desinfecção,processo água água água
1138,estou produzindo soda caustica e gostaria de saber qual e a medida da tonelada metrica pois este produto utiliza essa medida,sódio água cloro desinfecção,processo água fabricação água
1139,biobutanol,álcool cerveja etanol etílico,processo água água água
1140,como e produzido o biobutanol e quais suas vantagens,álcool cerveja etanol etílico,processo água fabricação água
1141,camaras hiperbaricas,pressão válvula nr cilindro,processo água fabricação água
1142,o que sao camaras hiperbaricas seus componentes e aplicacoes,pressão válvula nr cilindro,processo água água água
1143,condicionamento de ar,ar secagem umidade seco,processo água fabricação água
1144,gostaria de obter informacoes sobre condicionamento de ar,ar secagem umidade seco,processo água água água
1145,celulose de papel,papel análise laboratório método,processo água fabricação água
1146,gostaria de obter informacoes a respeito do reaproveitamento de fibras de acetato de celulose e filtros de cigarro para obtencao de celulose de papel,papel análise laboratório método,processo água água água
1147,gostaria de obter informacoes a respeito de linguistica computacional,empresa plano certificação sistema,processo água água água
1148,fabricacao de pregos,processo industrial propriedade patente,processo água água água
1149,gostaria de receber informacoes sobre a fabricacao de pregos,processo industrial propriedade patente,processo água água água
1150,protetor para salto de calcado,calçado eva fabricação modelagem,processo água água água
1151,existe algum acessorio para proteger o acabamento dos saltos de calcados femininos contra sujeiras impactos e batidas que comumente ocorrem durante a caminhada de que material e feito,calçado eva fabricação modelagem,processo água fabricação água
1152,fabricacao de postes de concreto com tiras de bambu,concreto cimento impermeabilizante traço,processo água água água
1153,gostaria de obter informacoes a respeito da fabricacao de postes de concreto com tiras de bambu,concreto cimento impermeabilizante traço,processo água água água
1154,fonecedor de mudas para producao de mel,al mel oliveira carvalho,processo água água água
1155,tenho interesse em implantar apiario no piaui e gostaria de informacoes de fornecedores idoneos de mudas de especies que possam ser plantadas para alimentar estas abelhas tanto na seca quanto nas chuvas que produzam materia prima para melgeleia real etc,al mel oliveira carvalho,processo água água água
1156,granulometria da fecula de mandioca,mandioca amido arroz polvilho,processo água água água
1157,gostaria de saber como faco industrialmente para peneirar a fecula de mandioca umedecida na granulometria adequada para producao do beiju a fecula de mandioca umedecida quando colocada numa peneira vibratoria comum se aglomera e se compacta inviabilizando o peneiramento gostaria de saber quais as condicoes adequadas para o peneiramento desse material,mandioca amido arroz polvilho,processo água água água
1158,arco de desinfeccao,processo industrial propriedade patente,processo água fabricação água
1159,desejo receber um projeto de arco de desinfeccao para granja de aves,processo industrial propriedade patente,processo água água água
1160,propriedades do tnt tecido nao tecido,tecido tnt fabricação nãotecido,processo água água água
1161,quais as caracteristicas e tipos de tnt tecido nao tecido ha no mercado tnt com elasticidade quais suas caracteristicas,tecido tnt fabricação nãotecido,processo água água água
1162,fornecedores de chapas de papelao ondulado,embalagem transporte armazenamento papelão,processo água água água
1163,desejo adquirir chapas de papelao ondulado onda b de mm por quilo em uma medida definida de mm por mm para fabricacao de caixas de pizza e gostaria de saber quantas chapas nestas medidas e possivel obter para cada quilo de papelao se nao for possivel fazer este calculo gostaria de saber alguns fornecedores das chapas para o contato direto,embalagem transporte armazenamento papelão,processo água água água
1164,laboratorios para analise de agua no rio de janeiro,mar rio acesso universidade,processo água água água
1165,gostaria de informacoes de laboratorios do rio de janeiro que realizam analises de agua de nascente para verificar a possibilidade de vendela como agua mineral,mar rio acesso universidade,processo água água água
1166,tipos de papelao ondulado e gramatura,embalagem transporte armazenamento papelão,processo água água água
1167,gostaria de informacoes referentes aos tipos de papelao ondulado e gramatura qual a espessura do papelao ondulado onda b,embalagem transporte armazenamento papelão,processo água água água
1168,estabilizante para agente de sanificacao a base de cloro,sódio água cloro desinfecção,processo água fabricação água
1169,em um detergente alcalino clorado para limpeza cip baixo teor de espuma com uma porcentagem inicial de cloro ativo de percebese que em poucos dias o cloro comeca a diminuir de concentracao gostaria de saber se existe algum estabilizante especifico para esse caso nome do produto fornecedores concentracao recomendada,sódio água cloro desinfecção,processo água fabricação água
1170,selo verde para calcados,empresa plano certificação sistema,processo água água água
1171,existe um selo verde especifico para calcados quais os criterios para que um calcado possa ser considerado sustentavel,empresa plano certificação sistema,processo água fabricação água
1172,materiaprima para essencias aromaticas,alho essencial limão aroma,processo água água água
1173,quais sao as materias primas utilizadas para fabricacao de essencias de produtos de limpeza,alho essencial limão aroma,processo água água água
1174,sou amante da arte japonesa de dobrar papeis e estou pensando em vender os origamis que ja sei fazer mas tenho o sonho de tornalos mais duraveis e utilizalos como chaveiro para isso seria necessario um meio de tornar o papel mais rigido resistente e impermeavel ja tentei misturas de alguns liquidos como verniz cola e ate mesmo algumas tintas mas nenhuma dessas misturas deu resultado esperado o sbrt conhece alguma tecnica ou produto que eu possa utilizar em meus origamis depois de dobrados,bem artesanal artesanato fabricação,processo água água água
1175,confeccao de saches aromaticos,bem artesanal artesanato fabricação,processo água fabricação água
1176,gostaria de informacao de como fazer saches aromaticos com ervas secas,bem artesanal artesanato fabricação,processo água água água
1177,como utilizar o canhamo na construcao civil,algodão confecção têxtil fibra,processo água fabricação água
1178,especies de corais marinhos,alumínio ferro cobre cálcio,processo água fabricação água
1179,quais as especies de coral que podem ser cultivadas em aquarios marinhos quais as especificidades da criacao,alumínio ferro cobre cálcio,processo água água água
1180,fornecedor de lata de aluminio sem impressao,alumínio ferro cobre cálcio,processo água água água
1181,gostaria de informacoes com endereco completo e formas de contato com empresas fabricantes de latas de aluminio de todos os tamanhos para utilizacao em artesanato desdo latinhas pequenas redondas ate galao de servem somente latas sem qualquer tipo de impressao ou seja limpa por dentro e por foraatenciosamente,alumínio ferro cobre cálcio,processo água água água
1182,metodos de determinacao da pmta em vasos de pressao,pressão válvula nr cilindro,processo água água água
1183,metodos de determinacao da pmta em vasos de pressao,pressão válvula nr cilindro,processo água água água
1184,fornecedores de frasco e pincel para esmalte de unhas,base solvente esmalte unhas,processo água água água
1185,gostaria de indicacao de fornecedores de vidros embalagens e pincel para esmaltes para unhas,base solvente esmalte unhas,processo água água água
1186,decoracao com cascas de ovos,bem artesanal artesanato fabricação,processo água água água
1187,como aproveitar cascas de ovos para fazer decoracao em caixas de madeira,bem artesanal artesanato fabricação,processo água fabricação água
1188,sodacloro,sódio água cloro desinfecção,processo água água água
1189,gostaria de saber sobre projeto de plantas de sodacloro producao de soda em industrias,sódio água cloro desinfecção,processo água água água
1190,soldagem em termoplasticos,soldagem solda arame eletrodo,processo água água água
1191,desejo obter o maximo de informacoes sobre os tipos de soldagem de termoplasticos,soldagem solda arame eletrodo,processo água água água
1192,fabricacao de biscuit,bem artesanal artesanato fabricação,processo água água água
1193,gostaria de obter informacoes sobre o passo a passo para fabricacao da massa de biscuit,bem artesanal artesanato fabricação,processo água água água
1194,producao de zeolitas sinteticas,sódio água cloro desinfecção,processo água água água
1195,gostaria de fabricar um produto conhecido como zeolita produto que futuramente substituira o tripolifosfato de sodio nas formulacoes de sabao em po para isso gostaria de saber qual o caminho produtivo a seguir,sódio água cloro desinfecção,processo água água água
1196,propriedades mecanicas do aco inoxidavel tipo,aço inox inoxidável carbono,processo água água água
1197,gostaria de saber qual a dureza minima hb permitida na fabricacao de aco inox tp desde ja agradeco a atencao e fico na expectativa de breve retornosdsjose rubens izarelli,aço inox inoxidável carbono,processo água água água
1198,aplicacao de valvulas reguladoras de pressao,pressão válvula nr cilindro,processo água fabricação água
1199,qual a aplicacao das valvulas reguladoras de pressao,pressão válvula nr cilindro,processo água água água
1200,desinfeccao com produto enzimatico,sódio água cloro desinfecção,processo água água água
1201,gostaria de informacoes sobre desinfeccao com produto enzimatico,sódio água cloro desinfecção,processo água água água
1202,uso de leite e agua na massa de pizza,ar secagem umidade seco,processo água água água
1203,possuo uma pizzaria e gostaria de saber se e melhor usar agua ou leite na massa da pizza o que conserva mais,ar secagem umidade seco,processo água água água
1204,diferencas no sabor da pizza,ar secagem umidade seco,processo água água água
1205,porque o sabor das pizzas assadas em forno a lenha e tao diferente das que utilizam outras maneiras de coccao tem a ver com a fumaca,ar secagem umidade seco,processo água água água
1206,sorbato de potassio em molho de pimenta,conservante aditivo potássio cogumelo,processo água água água
1207,produzo molho de pimentas do tipo dedo de moca cumari malagueta etc e gostaria de saber a dosagem permitida de sorbato de potassio por litro de molho de pimenta,conservante aditivo potássio cogumelo,processo água água água
1208,oculos de sol com filtro uv,processo industrial propriedade patente,processo água água água
1209,gostaria de saber qual filtro solar usado na fabricacao dos oculos de sol e como se da o processo,processo industrial propriedade patente,processo água água água
1210,acido citrico em iogurte batido,conservante aditivo potássio cogumelo,processo água fabricação água
1211,gostaria de saber quais sao as porcentagens permitidas de acido citrico na fabricacao de iogurte batido,conservante aditivo potássio cogumelo,processo água água água
1212,biodigestor,orgânica orgânico matéria compostagem,processo água água água
1213,biodigestores como funcionam tratamento pressurizacao do gas riscos e etc,orgânica orgânico matéria compostagem,processo água água água
1214,embutido de peixe,carne pimenta molho embutidos,processo água fabricação água
1215,como fazer embutidos de peixes,carne pimenta molho embutidos,processo água fabricação água
1216,quais os espessantes utilizados no preparo de molhos,química produto líquido produtos,processo água água água
1217,cafe e a saude,café vapor grãos moagem,processo água fabricação água
1218,quais os beneficios e riscos que o cafe traz a saude,café vapor grãos moagem,processo água água água
1219,metalon,aço inox inoxidável carbono,processo água água água
1220,gostaria de informacoes sobre o metalon sua composicao e resistencia sei que o nome metalon e usado frequentemente mas nao consigo encontrar que material e esse e suas caracteristicas,aço inox inoxidável carbono,processo água água água
1221,gelatinizacao da fecula de mandioca na producao de coco desidratado,mandioca amido arroz polvilho,processo água água água
1222,informacoes sobre a gelatinizacao da fecula de mandioca e possibilidades de controlala durante seu uso na producao de coco desidratado,mandioca amido arroz polvilho,processo água água água
1223,normas tecnicas japonesas sobre fabricacao de vestuario,teste of and valor,processo água água água
1224,quais sao as normas tecnicas japonesas sobre fabricacao de vestuario,teste of and valor,processo água água água
1225,esmalte sem formaldeido,base solvente esmalte unhas,processo água fabricação água
1226,que substancia podese utilizar para substituir o formaldeido pois este pode causar alergia na formulacao de esmaltes de unha,base solvente esmalte unhas,processo água água água
1227,uso do sal no controle de parasitoides em piscicultura,peixe pescado pesca água,processo água água água
1228,na criacao de peixes em agua doce constatei a presenca de alguns parasitoides nos animais e nao encontro informacoes suficientes para resolver esse problema existe alguma forma de combater esses parasitoides ainda na agua,peixe pescado pesca água,processo água água água
1229,bolo solado,pó bolo fluxograma pós,processo água água água
1230,tenho uma padaria e gostaria de saber quais motivos levam um bolo a solar,pó bolo fluxograma pós,processo água água água
1231,requisitos do selo verde americano para certificacao de empresa de calcados,empresa plano certificação sistema,processo água água água
1232,quais sao os requisitos para que uma empresa de calcados se certifique com o selo verde green seal americano,empresa plano certificação sistema,processo água água água
1233,percentual de perda de massa durante a torra do grao de cafe,café vapor grãos moagem,processo água água água
1234,qual a porcentagem de perda de cafe do grao seco umidade para o torrado qual a porcentagem de perda do cafe torrado para o moido qual a porcentagem de perda do cafe moido para empacotado,café vapor grãos moagem,processo água água água
1235,descascador de camarao,processo industrial propriedade patente,processo água água água
1236,gostaria de saber se existe patente de equipamento apropriado para descascar e limpar o camarao,processo industrial propriedade patente,processo água água água
1237,escamador de peixe,processo industrial propriedade patente,processo água fabricação água
1238,gostaria de saber se existe patente de um equipamento apropriado para retirar escamas de peixe de forma rapida e higienica,processo industrial propriedade patente,processo água água água
1239,desinfetante a base de dicloro isocianurato de sodio,sódio água cloro desinfecção,processo água água água
1240,gostaria de saber qualis produtos podem ser utilizados como veiculo de desinfetantes para piscina a base de dicloro isocianurato de sodio,sódio água cloro desinfecção,processo água água água
1241,reator fotoquimico segmentado,processo industrial propriedade patente,processo água água água
1242,gostaria de saber sobre um reator fotoquimico segmentado com lampadas distribuidas em colmeia para reacoes sequenciais ou em unica etapa que possa ser utilizado para tratamento de efluentes contaminados por substancias organicas,processo industrial propriedade patente,processo água água água
1243,processo de obtencao do feromonio sexual de eldana saccharina,processo industrial propriedade patente,processo água água água
1244,gostaria de saber o processo de obtencao do feromonio sexual de eldana saccharina que pode ser empregado no controle de pragas,processo industrial propriedade patente,processo água água água
1245,cultivo de uvas apirenicas,al mel oliveira carvalho,processo água fabricação água
1246,gostaria de obter informacoes tecnicas sobre o processo de germinacao das uvas apirenicas,al mel oliveira carvalho,processo água água água
1247,tingimento natural em tecidos e em elasticos,algodão confecção têxtil fibra,processo água água água
1248,qual o processo para fazer o tingimento natural de tecidos e elastico,algodão confecção têxtil fibra,processo água água água
1249,existe alguma alternativa para a destinacao correta de residuos de vidro laminado como parabrisa de automoveis,vidro pintura fibra tinta,processo água fabricação água
1250,crina para arco para instrumento musical,bem artesanal artesanato fabricação,processo água fabricação água
1251,qual o tratamento dado a crina animal para a producao de arcos para instrumentos musicais como violoncelo violino e contrabaixo,bem artesanal artesanato fabricação,processo água água água
1252,fio de algodao,algodão confecção têxtil fibra,processo água água água
1253,gostaria de saber sobre tipos de fios de algodao dos acabamentos quimicos e fisicos e tambem medidas para evitar desgaste e mofo nas roupas feitas com esse tipo de material,algodão confecção têxtil fibra,processo água água água
1254,polimento em chapas de aco em inox,aço inox inoxidável carbono,processo água água água
1255,como solucionar o problema de polimento em aco inox que fica totalmente riscado,aço inox inoxidável carbono,processo água fabricação água
1256,pneu com poliuretano,espuma poliuretano gelo refrigeração,processo água água água
1257,srs somos fabricantes de carrinhos de mao e utilizamos pneus com camara na montagem do mesmo temos reclamacoes frequentes que a camara fura com facilidade durante o uso ja vi no mercado pneus de borracha normais mas com preenchimento de poliuretano expandido em substituicao a camara gostaria de saber como e este processo de preenchimento do pneu com poliuretano para substituir a camara as respostas disponiveis no site sbrt falam apenas de pneus de poliuretano macico desde ja agradeco pela ajuda,espuma poliuretano gelo refrigeração,processo água água água
1258,metragem de tecido para calcas jeans,algodão confecção têxtil fibra,processo água água água
1259,quantos metros de tecido sao necessarios para produzir calcas jeans metade masculina e metade feminina quais os fornecedores deste tipo de tecido em minas gerais,algodão confecção têxtil fibra,processo água água água
1260,titulacao de fios texteis,algodão confecção têxtil fibra,processo água água água
1261,para uma empresa de malharia retilinea as vezes e um desafio compreender melhor a titulacao dos fios em tex em numero metrico etc para a compreensao das diferencas entre os fios comprados por exemplo numero metrico para numero ingles ou dtex gostaria de uma solucao em termos de conceito e aplicacao de conversao de medidas,algodão confecção têxtil fibra,processo água água água
1262,diferencas entre cacau em po natural e alcalino,chocolate gordura cacau manteiga,processo água água água
1263,gostaria de saber qual a diferenca na massa da utilizacao de cacau em po natural e cacau em po alcalino na producao de rosquinhas e cookies de chocolate,chocolate gordura cacau manteiga,processo água água água
1264,molho de acerola,carne pimenta molho embutidos,processo água água água
1265,qual a tecnica para fabricar molho de acerola substituindo o tomate para massas e cachorro quente,carne pimenta molho embutidos,processo água água água
1266,conservacao de frutas legumes e verduras flv,embalagem transporte armazenamento papelão,processo água fabricação água
1267,como manter as frutas legumes e verduras nas bancas e no estoque,embalagem transporte armazenamento papelão,processo água fabricação água
1268,cosmeticos ecofriendly,gel higiene pessoal produtos,processo água fabricação água
1269,gostaria de mais informacoes sobre a producao de aromatizadores de ambiente e produtos de higiene pessoal como sabonetes liquidos sais de banho shampoos cremes hidratantes e geis onde conseguir materias primas organicas embalagens e materias para a producao de uma linha ecofriendly,gel higiene pessoal produtos,processo água água água
1270,preparo da cama de aviarios para o adubo de pastagem,orgânica orgânico matéria compostagem,processo água água água
1271,como e feito o preparo da cama de aves para o adubo de pastagens,orgânica orgânico matéria compostagem,processo água fabricação água
1272,producao de cloro materiais e metodos,sódio água cloro desinfecção,processo água água água
1273,quais os materiais utilizados para as tubulacoes utilizadas na fabricacao de cloro e quais os metodos utilizados,sódio água cloro desinfecção,processo água água água
1274,cultivo de eucalipto no estado de sao paulo,mar rio acesso universidade,processo água fabricação água
1275,quero cultivar eucalipto no estado de sao paulo que tipo de clima e solo a cultura necessita quais municipios sao adequados para esse plantio,mar rio acesso universidade,processo água água água
1276,silicone comercial e silicone grau medico,silicone banana bananeira cupuaçu,processo água água água
1277,qual e a diferenca de um silicone comercial e de um silicone grau medico,silicone banana bananeira cupuaçu,processo água água água
1278,tempo de analise de ensaio de dureza e espectrometria de infravermelho,papel análise laboratório método,processo água água água
1279,qual o tempo demandado para analise de uma amostra anel de material elastomerico vulcanizado identificando sua dureza shore a e identificacao do polimero base por espectrometria de infravermelho,papel análise laboratório método,processo água água água
1280,patente para a fabricacao de sorvete e picole de licuri,processo industrial propriedade patente,processo água água água
1281,gostaria fazer picole de licuri para vender mas me disseram que ja e pateado e verdade qual e a patente,processo industrial propriedade patente,processo água água água
1282,cola para tamburato,cola adesivo colagem colar,processo água fabricação água
1283,gostaria de obter informacoes a respeito do tipo de cola usado para confeccao de tamburato,cola adesivo colagem colar,processo água água água
1284,obtencao de etanol a partir de materia prima amilacea,processo industrial propriedade patente,processo água água água
1285,gostaria de saber sobre o processo de obtencao de etanol a partir de materia prima amilacea cepa recombinante de s cerevisiae inoculante e sua utilizacao,processo industrial propriedade patente,processo água água água
1286,patentes para a fabricacao de espremedores de tubos e bisnagas,processo industrial propriedade patente,processo água água água
1287,estou pensando em fabricar um espremedor para tubos de creme dental de aluminio e preciso de informacoes relacionadas como patentes sobre o processo,processo industrial propriedade patente,processo água fabricação água
1288,corpos de prova para ensaios de tracao,teste of and valor,processo água fabricação água
1289,considerando a realizacao de ensaios de tracao para elastomeros termoplasticos segundo a norma iso quais os principais pontos que devem ser observados para a definicao dos corpos de prova,teste of and valor,processo água fabricação água
1290,geno ala suplemento alimentar para animais,química produto líquido produtos,processo água água água
1291,gostaria de saber informacoes sobre os compostos quimicos usados na fabricacao do suplemento para peixes genoala,química produto líquido produtos,processo água água água
1292,patentes relacionadas a fabricacao de luvas plasticas com produto cosmetico,processo industrial propriedade patente,processo água água água
1293,gostaria de fabricar luvas usadas nos servicos de manicure em saloes de beleza que ja vem com creme e por isso preciso saber se ja e patenteado,processo industrial propriedade patente,processo água água água
